addr,name,class,obj,status,reason,seeds_passed,seeds_total,z3_proven
0x1c030,FUN_0001c030,stubbable,actions.obj,pass,,50,50,0
0x1c190,FUN_0001c190,stubbable,actions.obj,pass,,50,50,0
0x1c300,actor_action_perform,stubbable,actions.obj,pass,,50,50,0
0x1c370,actor_action_update,stubbable,actions.obj,pass,,50,50,0
0x1c530,actor_action_flush_structure_indices,stubbable,actions.obj,pass,,50,50,0
0x1c5a0,actor_action_handle_panic_from_surprise,stubbable,actions.obj,fail,divergence,0,50,0
0x1c660,actor_action_handle_panic_from_damage,stubbable,actions.obj,pass,,50,50,0
0x1c750,actor_action_handle_panic_from_burning_to_death,stubbable,actions.obj,pass,,50,50,0
0x1c7f0,actor_action_handle_panic_from_attached_projectiles,stubbable,actions.obj,pass,,50,50,0
0x1c880,actor_action_handle_panic_from_attached_melee_attackers,stubbable,actions.obj,pass,,50,50,0
0x1c8d0,actor_action_handle_berserking_from_attacking_mode,stubbable,actions.obj,pass,,50,50,0
0x1c940,actor_action_handle_berserking_from_proximity,stubbable,actions.obj,pass,,50,50,0
0x1ca00,actor_action_handle_berserking_from_damage,stubbable,actions.obj,pass,,50,50,0
0x1cb30,FUN_0001cb30,stubbable,actions.obj,pass,,50,50,0
0x1cb70,actor_action_handle_vehicle_exit,stubbable,actions.obj,pass,,50,50,0
0x1cf10,actor_action_can_stop_guarding,stubbable,actions.obj,fail,divergence,0,50,0
0x1d030,actor_action_change,stubbable,actions.obj,fail,divergence,6,50,0
0x1d350,actor_action_try_to_seek_cover,stubbable,actions.obj,pass,,50,50,0
0x1d420,actor_action_try_to_enter_vehicle,stubbable,actions.obj,pass,,50,50,0
0x1d5f0,actor_mode_name,data_only,actions.obj,pass,,50,50,0
0x1d620,actor_action_debug_color,stubbable,actions.obj,pass,,50,50,0
0x1d760,set_real_vector2d,leaf,actions.obj,pass,,50,50,0
0x1d780,set_real_vector3d,leaf,actions.obj,pass,,50,50,0
0x1d7a0,point_to_line_distance3d,stubbable,actions.obj,pass,,50,50,0
0x1dab0,actor_action_handle_initial_action,stubbable,actions.obj,pass,,50,50,0
0x1daf0,actor_action_handle_pending_command_list,stubbable,actions.obj,pass,,50,50,0
0x1db90,actor_action_handle_surprise,stubbable,actions.obj,pass,,50,50,0
0x1e700,actor_action_handle_active_cover_seeking,stubbable,actions.obj,pass,,50,50,0
0x1f9a0,actor_action_handle_exit_pursuit,stubbable,actions.obj,pass,,50,50,0
0x1fa60,actor_action_try_to_throw_grenade,stubbable,actions.obj,pass,,50,50,0
0x20140,actors_searching_same_position,stubbable,actions.obj,pass,,50,50,0
0x204f0,actor_action_handle_combat_transition,data_only,actions.obj,pass,,50,50,0
0x20670,actor_action_handle_evasion,stubbable,actions.obj,pass,,50,50,0
0x21080,FUN_00021080,stubbable,actions.obj,pass,,50,50,0
0x210b0,FUN_000210b0,stubbable,actions.obj,pass,,50,50,0
0x36860,FUN_00036860,stubbable,actors.obj,pass,,50,50,0
0x36890,FUN_00036890,stubbable,actors.obj,pass,,50,50,0
0x36a90,FUN_00036a90,stubbable,actors.obj,fail,divergence,0,50,0
0x36b10,FUN_00036b10,stubbable,actors.obj,fail,divergence,0,50,0
0x36b50,FUN_00036b50,stubbable,actors.obj,fail,divergence,0,50,0
0x36c00,FUN_00036c00,stubbable,actors.obj,pass,,50,50,0
0x36c50,FUN_00036c50,stubbable,actors.obj,error,emulation_error,0,50,0
0x36e50,FUN_00036e50,stubbable,actors.obj,pass,,50,50,0
0x36f20,FUN_00036f20,stubbable,actors.obj,pass,,50,50,0
0x37240,FUN_00037240,stubbable,actors.obj,fail,divergence,47,50,0
0x373b0,FUN_000373b0,stubbable,actors.obj,fail,divergence,0,50,0
0x374f0,FUN_000374f0,stubbable,actors.obj,fail,divergence,0,50,0
0x37630,FUN_00037630,stubbable,actors.obj,fail,divergence,0,50,0
0x378e0,FUN_000378e0,stubbable,actors.obj,fail,divergence,0,50,0
0x379f0,FUN_000379f0,stubbable,actors.obj,pass,,50,50,0
0x37b50,FUN_00037b50,stubbable,actors.obj,pass,,50,50,0
0x37d50,FUN_00037d50,stubbable,actors.obj,pass,,50,50,0
0x38000,FUN_00038000,stubbable,actors.obj,pass,,50,50,0
0x38200,FUN_00038200,stubbable,actors.obj,pass,,50,50,0
0x38370,FUN_00038370,stubbable,actors.obj,fail,divergence,0,50,0
0x38880,FUN_00038880,stubbable,actors.obj,pass,,50,50,0
0x38b10,FUN_00038b10,stubbable,actors.obj,pass,,50,50,0
0x38c70,FUN_00038c70,stubbable,actors.obj,pass,,50,50,0
0x38da0,FUN_00038da0,data_only,actors.obj,pass,,50,50,0
0x38e00,FUN_00038e00,data_only,actors.obj,pass,,50,50,0
0x39c80,FUN_00039c80,stubbable,actors.obj,pass,,50,50,0
0x39f30,FUN_00039f30,stubbable,actors.obj,pass,,50,50,0
0x3a190,FUN_0003a190,stubbable,actors.obj,pass,,50,50,0
0x3a3b0,FUN_0003a3b0,stubbable,actors.obj,pass,,50,50,0
0x3a480,FUN_0003a480,stubbable,actors.obj,pass,,50,50,0
0x3b3c0,actor_derive_target_information,stubbable,actors.obj,pass,,10,50,0
0x3b410,FUN_0003b410,stubbable,actors.obj,pass,,50,50,0
0x3b630,actor_flush_structure_indices,stubbable,actors.obj,pass,,50,50,0
0x3b6f0,actor_has_unlimited_grenades,leaf,actors.obj,pass,,50,50,0
0x3b700,actor_handle_damage,stubbable,actors.obj,pass,,4,50,0
0x3b7e0,FUN_0003b7e0,stubbable,actors.obj,pass,,50,50,0
0x3b860,FUN_0003b860,stubbable,actors.obj,fail,divergence,0,50,0
0x3b900,actors_freeze,stubbable,actors.obj,pass,,50,50,0
0x3b940,FUN_0003b940,stubbable,actors.obj,pass,,50,50,0
0x3ba00,actors_move_randomly,stubbable,actors.obj,pass,,50,50,0
0x3bd50,actor_destination_tolerance,stubbable,actors.obj,pass,,50,50,0
0x3bde0,FUN_0003bde0,stubbable,actors.obj,pass,,50,50,0
0x3c0c0,actors_handle_spatial_effect,stubbable,actors.obj,pass,,50,50,0
0x3c260,actor_unit_control_crouch,stubbable,actors.obj,pass,,50,50,0
0x3c2a0,actor_unit_control_jump,stubbable,actors.obj,pass,,50,50,0
0x3c2d0,actor_unit_control_primary_trigger,stubbable,actors.obj,pass,,50,50,0
0x3c330,actor_unit_control_secondary_trigger,stubbable,actors.obj,pass,,50,50,0
0x3c370,actor_handle_communication,stubbable,actors.obj,pass,,50,50,0
0x3c3e0,actor_unit_control_stop_animation_impulse,stubbable,actors.obj,pass,,50,50,0
0x3c410,FUN_0003c410,stubbable,actors.obj,pass,,1,50,0
0x3c7c0,actor_customize_unit,stubbable,actors.obj,pass,,50,50,0
0x3cc10,actor_delete,stubbable,actors.obj,pass,,1,50,0
0x3cd30,actor_swarm_cache_new,stubbable,actors.obj,pass,,50,50,0
0x3ce40,actor_get_running_blind_vector,stubbable,actors.obj,pass,,50,50,0
0x3cf10,actor_kill,stubbable,actors.obj,pass,,42,50,0
0x3d330,actor_swarm_unit_died,stubbable,actors.obj,pass,,50,50,0
0x3d3d0,actor_braindead,stubbable,actors.obj,pass,,6,50,0
0x3d430,actor_handle_unit_effect,stubbable,actors.obj,pass,,43,50,0
0x3d6c0,actor_swarm_attach_unit,stubbable,actors.obj,pass,,13,50,0
0x3e570,actors_handle_unit_effect,stubbable,actors.obj,pass,,50,50,0
0x3e7a0,FUN_0003e7a0,stubbable,actors.obj,pass,,50,50,0
0x3edc0,actor_create_for_unit,stubbable,actors.obj,pass,,19,50,0
0x13dd0,FUN_00013dd0,stubbable,actor_looking.obj,pass,,50,50,0
0x13ef0,FUN_00013ef0,stubbable,actor_looking.obj,pass,,50,50,0
0x142a0,FUN_000142a0,stubbable,actor_looking.obj,fail,divergence,0,50,0
0x14360,actor_update_prop_desire,stubbable,actor_looking.obj,pass,,50,50,0
0x14460,FUN_00014460,stubbable,actor_looking.obj,pass,,50,50,0
0x14480,FUN_00014480,stubbable,actor_looking.obj,pass,,50,50,0
0x14510,actor_set_prop_if_match,stubbable,actor_looking.obj,pass,,50,50,0
0x14540,FUN_00014540,stubbable,actor_looking.obj,fail,divergence,0,50,0
0x145c0,FUN_000145c0,stubbable,actor_looking.obj,pass,,50,50,0
0x145f0,FUN_000145f0,stubbable,actor_looking.obj,pass,,50,50,0
0x14620,FUN_00014620,stubbable,actor_looking.obj,pass,,50,50,0
0x14680,FUN_00014680,stubbable,actor_looking.obj,pass,,50,50,0
0x146f0,FUN_000146f0,stubbable,actor_looking.obj,pass,,50,50,0
0x14770,FUN_00014770,stubbable,actor_looking.obj,pass,,50,50,0
0x14b40,FUN_00014b40,stubbable,actor_looking.obj,pass,,50,50,0
0x14b70,FUN_00014b70,stubbable,actor_looking.obj,pass,,50,50,0
0x14ba0,FUN_00014ba0,stubbable,actor_looking.obj,pass,,50,50,0
0x14c10,FUN_00014c10,stubbable,actor_looking.obj,fail,divergence,0,50,0
0x14e90,FUN_00014e90,stubbable,actor_looking.obj,pass,,50,50,0
0x14ff0,FUN_00014ff0,stubbable,actor_looking.obj,pass,,50,50,0
0x15020,FUN_00015020,leaf,actor_looking.obj,pass,,0,0,1
0x15040,FUN_00015040,stubbable,actor_looking.obj,pass,,50,50,0
0x15150,FUN_00015150,stubbable,actor_looking.obj,pass,,50,50,0
0x151b0,FUN_000151b0,stubbable,actor_looking.obj,pass,,50,50,0
0x15250,FUN_00015250,stubbable,actor_looking.obj,pass,,50,50,0
0x15520,FUN_00015520,stubbable,actor_looking.obj,fail,divergence,0,50,0
0x15880,FUN_00015880,stubbable,actor_looking.obj,pass,,50,50,0
0x15900,FUN_00015900,stubbable,actor_looking.obj,fail,divergence,49,50,0
0x159d0,FUN_000159d0,stubbable,actor_looking.obj,pass,,50,50,0
0x15b30,FUN_00015b30,stubbable,actor_looking.obj,pass,,50,50,0
0x15b70,actor_clear_guard_state,stubbable,actor_looking.obj,pass,,50,50,0
0x15cf0,FUN_00015cf0,stubbable,actor_looking.obj,pass,,50,50,0
0x15eb0,actor_reset_action_state,stubbable,actor_looking.obj,pass,,50,50,0
0x15f30,actor_clear_flee_target,stubbable,actor_looking.obj,pass,,50,50,0
0x15f60,FUN_00015f60,stubbable,actor_looking.obj,pass,,50,50,0
0x16000,actor_replace_prop_handle,stubbable,actor_looking.obj,pass,,50,50,0
0x16050,FUN_00016050,stubbable,actor_looking.obj,pass,,50,50,0
