Object,Delink?,addr_range,func_count
actions.obj,true,0x0001B8A0-0x000212F0,73
actors.obj,true,0x0002A360-0x0003F230,124
actor_looking.obj,true,0x00013DD0-0x0002A630,120
ai.obj,true,0x0003F350-0x000427C0,48
bink_playback.obj,true,0x001C4DA0-0x001C6E00,31
bitmaps.obj,true,0x0007BA50-0x0007EC60,39
breakable_surfaces.obj,true,0x00145560-0x00146C90,18
cache_files_windows.obj,true,0x001BB7D0-0x001C00E0,48
cheats.obj,true,0x000A54B0-0x000A6B30,28
cinematics.obj,true,0x00092D80-0x00094020,32
collision_usage.obj,true,0x0014C6D0-0x0014F4C0,33
console.obj,true,0x000FF400-0x000FFBE0,12
contrails.obj,true,0x00097890-0x0009F8E0,18
debug_memory.obj,true,0x0008EB80-0x0008F170,4
cseries.obj,true,0x0008D410-0x0008E390,24
cseries_windows.obj,true,0x0008E250-0x0008E700,15
crc.obj,true,0x001190B0-0x00119300,3
memory_pool.obj,true,0x0011E330-0x0011EAA0,14
stack_memory_pool.obj,true,0x0011E9C0-0x00120170,37
d3d_intimacy.obj,true,0x001CF840-0x001CFBEB,7
data.obj,true,0x00119180-0x0011A1F0,27
debug_keys.obj,true,0x000FFC00-0x000FFFF0,5
decals.obj,true,0x00098970-0x0017CF50,75
director.obj,true,0x00085A40-0x00088460,44
editor_stubs.obj,true,0x000977E0-0x00097A70,10
effects.obj,true,0x0009C650-0x0009F630,37
errors.obj,true,0x0008E5F0-0x0008FA10,26
event_manager.obj,true,0x000D98C0-0x000DCA00,35
files.obj,true,0x00199420-0x00199D20,14
files_windows.obj,true,0x00199D40-0x0019B0D0,27
first_person_weapons.obj,true,0x000DC750-0x000DED60,30
game.obj,true,0x000A6A80-0x000B57B0,59
game_allegiance.obj,true,0x000A7940-0x000A8330,17
game_engine.obj,true,0x000A81A0-0x000B3EF0,237
game_sound.obj,true,0x001C6CA0-0x001C8E80,36
game_state.obj,true,0x001BF760-0x001C02C0,20
game_state_xbox.obj,true,0x001C0220-0x001C1BE0,32
game_statistics.obj,true,0x000B5640-0x000B58F0,4
game_time.obj,true,0x000B5990-0x000B6220,20
hs.obj,true,0x000C0C30-0x000C59A0,255
hs_compile.obj,true,0x000C5730-0x000C95F0,46
hs_runtime.obj,true,0x000C7840-0x000CE6A0,130
hud.obj,true,0x000D0340-0x000D29A0,36
hud_messaging.obj,true,0x000D3FA0-0x000D7F40,91
input_abstraction.obj,true,0x000CE690-0x000CEC90,9
input_xbox.obj,true,0x000CE4B0-0x000D04F0,28
interface.obj,true,0x000DEC50-0x000E0310,17
items.obj,true,0x000F4210-0x000F7540,42
main.obj,true,0x000E8D20-0x00104630,103
marketing_and_strategic_business_development.obj,true,0x000E02D0-0x000E0770,5
network_game_globals.obj,true,0x00129130-0x0012AB20,30
network_client_manager.obj,true,0x00124730-0x00127910,60
network_client_message_handler.obj,true,0x001277F0-0x001282C3,13
network_messages.obj,true,0x0011A230-0x0012B900,38
network_server_manager.obj,true,0x0012BCE0-0x0012FB90,84
network_server_message_handler.obj,true,0x0012FD80-0x00130780,8
objects.obj,true,0x00084A10-0x001A9720,216
observer.obj,true,0x00089240-0x0008D5A0,41
particle_systems.obj,true,0x0009F570-0x000A1370,22
particles.obj,true,0x000A1210-0x000A2770,20
physical_memory_map.obj,true,0x001BDB70-0x001BDF00,3
player_control.obj,true,0x000B6380-0x000B8F30,47
player_effects.obj,true,0x000A2690-0x000A3D80,29
player_queues_new.obj,true,0x000B8D70-0x000B9C70,19
player_rumble.obj,true,0x000B9B30-0x000BA1D0,12
player_ui.obj,true,0x000E0620-0x000E1970,40
players.obj,true,0x000BA100-0x000C0D70,249
point_physics.obj,true,0x00154270-0x00154C50,14
predicted_resources.obj,true,0x001BDD40-0x001BE0C0,8
profile.obj,true,0x0008F870-0x000924A0,50
projectiles.obj,true,0x000F7CB0-0x000FAF00,28
progress_bar.obj,true,0x000E19C0-0x000E35E0,31
random_math.obj,true,0x0010A930-0x0010CB20,38
rasterizer.obj,true,0x0016EEF0-0x0017CC40,103
rasterizer_common.obj,true,0x00154FC0-0x00155310,5
rasterizer_decals.obj,true,0x00157E40-0x0015D7B0,62
rasterizer_xbox.obj,true,0x00155350-0x00157210,37
vector_math.obj,true,0x00012000-0x00028810,46
real_math.obj,true,0x0001ACB0-0x00113C90,171
recorded_animations.obj,true,0x00094020-0x00095E60,47
render.obj,true,0x00184570-0x00185880,22
render_cameras.obj,true,0x00185770-0x0018AC00,59
saved_game_files.obj,true,0x001C1B00-0x001C4A50,55
scenario.obj,true,0x0018E280-0x0018F710,20
shaders.obj,true,0x00190240-0x00191010,25
shell.obj,true,0x001910F0-0x00191440,9
shell_xbox.obj,true,0x00191250-0x00191530,3
scenario.obj,true,0x0018AEF0-0x001901E0,65
sound_classes.obj,true,0x001C8990-0x001C8E60,10
sound_dsound_xbox.obj,true,0x001C90E0-0x0020F269,29
sound_manager.obj,true,0x001AC030-0x001CFA20,93
stack_walk_windows.obj,true,0x00092370-0x00092F60,6
tag_groups.obj,true,0x0019B0D0-0x001B9D80,16
tags.obj,true,0x001B9930-0x001BB4D0,27
structure_bsp_definitions.obj,true,0x001929A0-0x00193A70,15
structures.obj,true,0x00061CA0-0x00199560,127
structure_detail_objects.obj,true,0x00193910-0x00193D80,5
structure_runtime_decals.obj,true,0x001963C0-0x001965C0,1
structure_visibility.obj,true,0x001965D0-0x00196D10,6
telnet_console.obj,true,0x00130980-0x00132660,27
terminal.obj,true,0x000E3410-0x000E3C10,10
tiff_file.obj,true,0x0007F3A0-0x000802D0,8
thread_win32.obj,true,0x00081170-0x00081C20,15
transport_endpoint_set_winsock.obj,true,0x00081EC0-0x00084B70,52
ui_widget.obj,true,0x000E3B80-0x000ED0B0,121
ui_widget_event_handler_functions.obj,true,0x000E9810-0x000E9A10,1
ui_widget_game_data_input_functions.obj,true,0x000EDCD0-0x000F3BC0,72
unicode.obj,true,0x0019D810-0x0019FC20,69
bipeds.obj,true,0x001A01D0-0x001A3140,39
units.obj,true,0x0008DC30-0x001B3890,204
vehicles.obj,true,0x001B4DC0-0x001B8770,32
weather_particle_systems.obj,true,0x000A3E60-0x000A5020,17
widgets.obj,true,0x00136450-0x001367B0,5
bink.obj,true,0x0022DF80-0x00231690,11
xbox_texture_cache.obj,true,0x001BE920-0x001BF770,21
d3d_resource.obj,true,0x001ED620-0x001EDE70,6
rasterizer_text.obj,true,0x0017FF50-0x001846B0,69
draw_string.obj,true,0x00130AB0-0x0019C5C0,20
rasterizer_sprites.obj,true,0x0017CD60-0x0017F100,87
rectangles.obj,true,0x00107C30-0x00109040,27
integer_math.obj,true,0x00108E70-0x001091A0,3
bink_sound.obj,true,0x001C93F0-0x001C96B0,2
lruv_cache.obj,true,0x0011C530-0x001C0090,46
bitmap_utilities.obj,true,0x00075380-0x0007BB40,54
D3D8:d3dresource.obj,true,0x001ED7D0-0x001EFC80,2
D3D8:d3dsurface.obj,true,0x001E9190-0x001FFE57,6
XAPILIB:fileio.obj,true,0x001D0E96-0x001D2110,25
XAPILIB:lasterr.obj,true,0x001D21F2-0x001D2DBD,18
XAPILIB:physmem.obj,true,0x001D2D48-0x001D5A42,59
XAPILIB:xvutil.obj,true,0x001D04F1-0x001D0FF0,25
XNET:xnet.obj,true,0x001D8259-0x001D900A,16
XNET:wsock.obj,true,0x00222DF7-0x00225ED1,8
edit_text.obj,true,0x00096D70-0x000976A0,12
international_strings.obj,true,0x0019C5D0-0x0019D960,22
weapons.obj,true,0x000FAD60-0x000FD770,57
XAPILIB:xinput.obj,true,0x0024C427-0x0024C627,1
action_obey.obj,false,,0
actor_combat.obj,true,0x00020F80-0x00022FC0,19
actor_moving.obj,true,0x0002A3A0-0x0002E760,29
actor_perception.obj,true,0x0002F1A0-0x000357F0,45
ai_communication.obj,true,0x00042A30-0x00049090,48
ai_debug.obj,true,0x00048F50-0x00053CF0,73
ai_profile.obj,true,0x000540B0-0x00055FD0,46
ai_script.obj,true,0x00058CC0-0x000590B0,3
encounters.obj,true,0x00053B80-0x0005E1B0,139
props.obj,true,0x00063E30-0x000654F0,35
tif_dir.obj,true,0x000659F0-0x00067070,26
tif_flush.obj,true,0x00068780-0x0006BC70,57
tif_open.obj,true,0x0006C400-0x0006DFA0,41
tif_write.obj,true,0x0006E740-0x00074C30,81
bored_camera.obj,true,0x000849F0-0x00084BF0,1
circular_queue.obj,true,0x00114630-0x001191B0,69
model_animations.obj,true,0x00120250-0x001240D0,41
network_connection.obj,true,0x001280ED-0x00129C30,25
network_game_manager.obj,true,0x0012A960-0x0012B8B0,20
bsp3d.obj,true,0x00146BE0-0x001472B0,5
collision_features.obj,true,0x0014AD40-0x0014C6B0,18
